,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,FD_5yr,368.7162693230614,0.0,38.11360703331573,10.852955031337308,0.18727886355648882,0.0,0.8769085328890786,0.3368498242139336
1,FD_10yr,4835.404075268691,25.621260103043003,77.0312853907577,326.29770685508834,0.18527792687452344,0.1330170403028494,0.6403039091207511,0.20679328502600233
2,FD_20yr,25444.56939967841,4039.975433858527,966.8493734150833,2145.627159401026,0.1239819277328916,0.031517571716824365,0.31146920995330246,0.09323272716303312
3,FD_50yr,44475.955738766585,12417.229292433603,6654.165686536582,5151.474241868239,0.18615590012665476,0.12171266539630102,0.19455125697150533,0.15408670617035852
4,FD_75yr,48036.974176184085,14509.225706384268,7700.193118482897,5745.3913502262485,0.218207314507069,0.145034976319795,0.2111155834475207,0.1775349404084799
5,FD_100yr,49946.22593717715,15771.20829326368,8239.605559545638,6033.031014179663,0.23795405510400588,0.16519708437661804,0.22103994294490753,0.1929445923668194
6,FD_200yr,53841.07187449455,18161.509089847823,9094.802651065698,6699.754172174928,0.28610873732421294,0.1834808072930312,0.24596337497438847,0.2216026696237806
7,FD_250yr,54882.127302805864,19022.723691284315,9347.108071067934,6892.787801413058,0.30309686552138365,0.18635639362820502,0.25344186443119593,0.2318236609097021
8,FD_500yr,60707.85672170748,23498.07207441281,10923.533584153154,8520.687288261895,0.3426079621107749,0.18350759553474155,0.25970762960685173,0.2352309747189531
9,FD_1000yr,66053.2400179311,27712.05415428427,14544.436516378706,9847.702620330701,0.38880541115406086,0.19319060615600947,0.24556096819940565,0.2556507752189678
