,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,FD_5yr,27138454.397574715,0.0,0.0,0.0,12827302.218559159,0.0,0.0,0.0
1,FD_10yr,155730852.30577323,268350.97414235293,0.0,6714.676658254599,72140605.9212199,15978.757766314448,0.0,16308.709312062416
2,FD_20yr,376573249.4501398,10025981.166174315,635863.389785002,131233.7050814825,177482267.96112603,360917.40417834616,1548908.8495703156,229705.22903988353
3,FD_50yr,958006954.8105325,106810543.05401956,3513646.666879668,1490287.3729624555,471652736.5779877,4402480.313497959,6142439.380373677,3818606.910818902
4,FD_75yr,1154157794.339703,139372041.7161007,4159583.3543635607,1916396.4480721557,570645034.21249,6126981.8080306705,7268389.533075986,5407300.904346198
5,FD_100yr,1296351580.4352527,172495546.5855382,4443948.1609352175,2146713.6729312427,640888025.5198667,7718432.208616955,7720542.928864284,6061612.42627006
6,FD_200yr,1608613068.3900757,219708772.67721003,5215048.854752878,2592907.5987131232,802945773.908204,9901898.912667021,8818842.607706359,7091556.73756938
7,FD_250yr,1703917522.834637,233186046.010405,5432252.761304268,2721190.2475102963,853738646.8901465,10516713.001070507,9221258.624344692,7386889.203660933
8,FD_500yr,2009633102.480783,285762910.36131567,6188015.273504714,3247945.244452418,1015707552.3967938,12748205.324883644,10515540.731260672,8455101.700018302
9,FD_1000yr,2344083472.1549945,351829861.0177351,7772540.343197303,3944924.4291183255,1191907647.1698642,16095677.2821942,13598928.202495381,10037918.481853582
