,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,FD_5yr,599.3285444618916,0.0,0.0,0.0,0.4733036085356958,0.0,0.0,0.0
1,FD_10yr,4797.585720419534,25.621260103043003,0.0,26.01098409315798,0.3052001046912841,0.1330170403028494,0.0,0.10756155672231386
2,FD_20yr,21556.112292816197,4039.975433858527,369.50732409116836,1752.5531370646597,0.1891649913155131,0.031517571716824365,0.8426612419393824,0.03120060059474264
3,FD_50yr,41174.359816179174,12417.229292433603,4499.918312420091,5266.5326474154635,0.30389335146430047,0.12171266539630102,0.3255025217670545,0.14043260841972074
4,FD_75yr,47220.668913859336,14509.225706384268,4945.885266880919,6095.993200444909,0.3490684050531629,0.145034976319795,0.3576141320728006,0.17004035458393119
5,FD_100yr,52045.12087746713,15771.20829326368,5150.711309613806,6440.076663775496,0.36881335237548885,0.16519708437661804,0.37089152953039506,0.18231520426057315
6,FD_200yr,57323.822150970576,18161.509089847823,5848.1816336995635,7106.670517991923,0.43409106249257473,0.1834808072930312,0.3810920181736682,0.20072521710799374
7,FD_250yr,58789.315355479666,19022.723691284315,6129.7264175079545,7349.436323446408,0.4532889697189661,0.18635639362820502,0.3794855632601858,0.2048425247273392
8,FD_500yr,63793.867094476256,23498.07207441281,7437.291711585598,9347.923484696126,0.5104504677622115,0.18350759553474155,0.360108866208424,0.19206045830740537
9,FD_1000yr,68070.38633747841,27712.05415428427,12867.139791497406,11278.142308168504,0.5759990499545538,0.19319060615600947,0.26274982531631125,0.19342595605209606
