,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,FU_5yr,30275.266850462947,5893.042660168153,805.4974131917038,2542.2400474654996,0.22096858782550338,0.13211259137350156,0.4335071367266703,0.16180848656349808
1,FU_10yr,40213.78808036965,8638.413115626749,2605.4192209663743,3751.907239730118,0.25112671189613023,0.135264586643227,0.2708846240404039,0.1513934831212876
2,FU_20yr,44935.83934993086,11219.276715668257,2970.526965202485,4750.8421516103635,0.28746486228844753,0.1310725680338424,0.31067479079397486,0.1478924654685704
3,FU_50yr,49796.39662215159,13522.812987659372,3904.751316453947,5725.461151342662,0.34125588458895023,0.14026279678428313,0.31549697903477525,0.15662182065441388
4,FU_75yr,51839.29270548311,14627.536733039691,4254.568321876862,6042.710641535488,0.367936672648805,0.1517296760871477,0.3267508488177012,0.167659960459634
5,FU_100yr,53623.09145268546,15259.770586290131,4375.035369873088,6317.3003947714415,0.38651914883746186,0.1591996026829426,0.34117538392100505,0.1738734760763546
6,FU_200yr,57526.16862227432,17802.278746167398,5111.779146174761,7456.074151629879,0.43740776241255047,0.16977762834662666,0.34798222031335446,0.17918205194717013
7,FU_250yr,58678.96824565731,18781.082574527914,5830.554388922013,8096.338506984655,0.45518947890024536,0.17172237234437865,0.32780687615095794,0.17559366050928785
8,FU_500yr,62780.054705904025,23088.408578816685,9913.369216303357,10066.608773268734,0.5117747947977057,0.17273581711584626,0.23674664176721735,0.17165120479838974
9,FU_1000yr,66866.07018736933,26446.92660513741,12854.275074201978,11062.958945121874,0.5737205614407024,0.1894060087425662,0.2348941753963172,0.1906233165811733
