,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,P_5yr,173764441.2472427,3499093.2944591455,228393.4847216867,86106.57143344189,82092038.65084176,89852.53427647488,143643.0263827506,104559.99741844034
1,P_10yr,487379718.1737746,19834826.159118116,974926.7029320712,476453.27668205806,225992102.47567996,715954.5514443975,1110623.4805395722,810736.2309227219
2,P_20yr,1170236368.1964407,66010111.182836,2659359.897655702,1376330.3291110736,536887608.5690043,2744829.6043549646,3797589.6068962803,2669256.238729783
3,P_50yr,2889935658.7549186,244209591.82710373,6448728.958485889,3862725.9897095542,1351712201.646562,11118571.857155783,10025202.199364705,7064067.067165222
4,P_75yr,3616767032.5891733,345644351.9523716,8316222.203456305,5076213.713891014,1707043998.1094913,16183750.892291686,13064760.037295148,9266234.790607572
5,P_100yr,4384275972.2262,456149835.4228985,10263865.475579204,6272909.35516846,2103378105.788865,21265695.238834888,16167883.764038013,11049537.51001529
6,P_200yr,5997076690.820387,746628057.1443009,16354138.001894359,9260378.126047572,2966206650.744054,35782865.11149234,25613438.26037294,15775522.88898837
7,P_250yr,6336448364.928968,805539853.172257,17587720.95723752,9924903.641320426,3143770525.637995,38920744.35627708,27662402.672704797,16869809.31847372
8,P_500yr,8043747329.048895,1157340046.3303242,24261385.128286928,13456115.968906373,4079270218.5535316,57539407.55227187,38845106.62844931,23353657.148872644
9,P_1000yr,9603971015.608856,1507919658.338448,30512228.58159434,16712497.579034902,4962139186.709475,77464007.3084625,49563321.523032054,29687504.6381891
