,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,P_5yr,168693139.76096386,3499093.2944591455,64016.64423734183,29086.201442134126,75978688.3223968,89852.53427647488,113376.85122171753,52961.30943841856
1,P_10yr,390178928.01511276,19834826.159118116,738179.5915666022,418673.6295163054,173916094.83907372,715954.5514443975,1102981.6128852768,795666.9143305235
2,P_20yr,861027660.3809328,66010111.182836,2300535.583226416,1412252.853588466,366912452.9627994,2744829.6043549646,3905949.937407248,2948555.1518115113
3,P_50yr,2073783102.2188885,244209591.82710373,6553273.017252614,4210678.945165049,875896986.8057592,11118571.857155783,12209313.784020286,9518143.708174217
4,P_75yr,2621659359.038587,345644351.9523716,8811414.49701652,5605340.393933506,1112385367.177319,16183750.892291686,16441080.495171864,13142718.274613075
5,P_100yr,3181101019.6660614,456149835.4228985,11032547.105918098,6900063.358718817,1359147266.7745948,21265695.238834888,20465534.606399387,15834719.988387555
6,P_200yr,4370667344.954161,746628057.1443009,17961493.644939855,10266498.739364369,1898881594.7057867,35782865.11149234,32190807.943360697,23248594.039202668
7,P_250yr,4623363178.457827,805539853.172257,19222858.608338952,10987259.028636474,2015111283.0162497,38920744.35627708,34470697.808476724,24858956.72661782
8,P_500yr,5876072324.724926,1157340046.3303242,25616767.20534893,14902863.108159894,2612012127.1466665,57539407.55227187,46213419.7251365,33598240.732910976
9,P_1000yr,6998821126.636696,1507919658.338448,31572126.792860627,18744929.16462961,3164874589.8577995,77464007.3084625,57101638.534346566,42780480.54088634
