,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,FD_5yr,3979357.1979496116,0.0,65618.35708596351,7671.805808681162,1668502.3891851697,0.0,224726.97664362696,30078.67922365963
1,FD_10yr,148106620.25831783,268350.97414235293,99007.60735694642,145853.27716280526,78425388.0130687,15978.757766314448,297236.3780725888,83662.44832762683
2,FD_20yr,478010002.33847535,10025981.166174315,642950.7201625617,448526.1109674544,244969371.58073735,360917.40417834616,1401015.7374998552,352619.8873697767
3,FD_50yr,1178497298.3362741,106810543.05401956,3105785.6318309736,1593891.2590663936,673085117.7706013,4402480.313497959,4957840.544229997,2337412.0138311638
4,FD_75yr,1445609812.7762341,139372041.7161007,3862131.087801077,1953230.938358871,828551367.2884582,6126981.8080306705,6112159.04269769,3264524.1820809348
5,FD_100yr,1625771310.7200985,172495546.5855382,4316712.178405229,2195172.485778596,930222991.4494662,7718432.208616955,6822296.035318994,3807309.2027871627
6,FD_200yr,2051040515.94978,219708772.67721003,5279484.860137259,2720369.9980350295,1175889090.9641693,9901898.912667021,8362521.969232557,4980172.777860568
7,FD_250yr,2190877218.9272175,233186046.010405,5583845.428411795,2895599.953200504,1256276481.3731074,10516713.001070507,8873017.936945433,5392128.974053387
8,FD_500yr,2643580908.536519,285762910.36131567,6592365.465024986,3523704.277910455,1517932719.3133204,12748205.324883644,10581869.201728601,6804473.716900787
9,FD_1000yr,3156621791.722192,351829861.0177351,8190658.344594447,4300178.589286315,1820324488.3074188,16095677.2821942,13494880.999153256,8356890.898706734
