,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,FU_5yr,33744.08074766031,5893.042660168153,1918.0110780851505,2830.924139465499,0.1357796876734294,0.13211259137350156,0.2600082167308923,0.13466965779806203
1,FU_10yr,40135.198268494394,8638.413115626749,4371.751526208723,3999.0483904547245,0.1597239728459651,0.135264586643227,0.18506119375317778,0.1368860929059198
2,FU_20yr,44560.38577366415,11219.276715668257,5517.651643046714,4825.95405442273,0.18338335723609708,0.1310725680338424,0.1862986413987853,0.14369873181026377
3,FU_50yr,48187.28656336255,13522.812987659372,6735.460470501319,5607.476711191265,0.223081053264369,0.14026279678428313,0.20166303918036677,0.16497260670994698
4,FU_75yr,49884.3368903723,14627.536733039691,7117.966934081256,5873.671471795018,0.24185564813131344,0.1517296760871477,0.21452208408780768,0.17941667882604365
5,FU_100yr,51217.93250817365,15259.770586290131,7316.631095929188,6084.491573604755,0.256477157190298,0.1591996026829426,0.22535960728544244,0.1899244287537852
6,FU_200yr,56116.18133941349,17802.278746167398,8473.213044426377,7074.026430361914,0.28691223226364554,0.16977762834662666,0.2353974117088776,0.2050879838892053
7,FU_250yr,57803.22118706744,18781.082574527914,9072.523234657207,7585.887504681996,0.2976607261417462,0.17172237234437865,0.2349362300450231,0.20668593683248643
8,FU_500yr,62199.70553766706,23088.408578816685,11497.718950677609,8956.88434112571,0.33833786925260245,0.17273581711584626,0.22631152355247375,0.22067009072623026
9,FU_1000yr,65557.0108356527,26446.92660513741,14068.998831563476,9686.237708454588,0.39057050699666024,0.1894060087425662,0.23269516596997528,0.2545607920279513
