,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,FU_5yr,523221827.5626943,47849818.15779053,883890.0402130471,707788.7142286459,242592496.31919602,2286473.8175223786,1446655.7413449031,2548891.5370968035
1,FU_10yr,726071309.3737847,75431599.47704887,1779380.4287486859,1003833.5490384867,345090181.9956665,3435634.9245122476,2957463.4313204167,3294146.1363638276
2,FU_20yr,913330432.0725518,96042684.3846044,2266339.9981992394,1286552.6268494185,435470719.18610597,4296049.073184581,3940016.7157767764,3878995.1846973915
3,FU_50yr,1163465857.8790483,126109342.82723543,2978851.3650410413,1686045.0805897994,564119623.7433136,5489329.468798526,5231716.479664661,4769243.374996225
4,FU_75yr,1288516482.0812712,151603890.49350262,3379750.539222478,1936242.5970571213,626791907.6912756,6484560.300141964,5822347.593178584,5352959.687825759
5,FU_100yr,1393029193.7037275,165169746.8493709,3609582.678894816,2088293.2261526478,679165773.3913023,7146538.359692244,6256670.494744686,5720595.20294316
6,FU_200yr,1649823917.1923213,201227254.78737003,4253660.912538423,2496586.381769739,815626111.6364869,8979338.405686436,7319134.509604346,6677086.874638611
7,FU_250yr,1735480727.4394934,213966273.9506252,4601013.717623256,2654645.3055946548,861386916.3005228,9636138.187043702,7736109.941109825,7068492.198073078
8,FU_500yr,2016041151.8655744,265642165.29976675,5561256.965945634,3218220.4774850896,1014276777.9845606,11846121.481283084,9307722.580005016,8187903.413622349
9,FU_1000yr,2328908301.1134176,330642723.7874396,7138670.487213118,3893548.355147685,1176922320.3805494,15081423.17629138,12285051.470290082,9781671.769675523
