,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,P_5yr,0.0,0.0,886.3116890215142,0.0,0.0,0.0,0.09544531910221389,0.0
1,P_10yr,0.0,0.0,3466.569558942313,0.0,0.0,0.0,0.10417652912847895,0.0
2,P_20yr,0.0,11575.478695059934,9896.926193080959,7694.156638545708,0.0,0.07246939134810775,0.09954366020519285,0.07455136722861808
3,P_50yr,147456.75602741368,38214.40783039116,25615.27661570137,18930.420776204734,0.12074609407719081,0.08304391226492716,0.0937510241209905,0.08615267044310311
4,P_75yr,174246.31162431266,48765.19719733989,31416.139728425675,22874.87691301408,0.1314179937762271,0.09481854385007343,0.09927495343922266,0.09524901592845265
5,P_100yr,196064.02918701366,58408.78841797857,38183.58711934928,26336.761703639506,0.14389916214933818,0.10478007659347816,0.10142197452383783,0.1030486130255807
6,P_200yr,239426.61501011817,78665.35153628659,52377.49533291995,33444.0991088006,0.16798210666249874,0.13180013144758562,0.11893801825562043,0.1237375619980893
7,P_250yr,248070.5312639901,82443.7387262821,54921.80606430952,34798.55562564698,0.17273893734150955,0.13662466384986652,0.12232413130479257,0.12824202400769036
8,P_500yr,286326.8609149179,102486.63903210522,67401.20467035266,41499.85083446039,0.19625850669129516,0.16125977847042627,0.13890345187130929,0.14959504325193754
9,P_1000yr,319916.0079415988,117347.42127098638,77978.22077958462,46307.56362445245,0.21586731499097678,0.18771116245052752,0.15241906756835244,0.1704794034286007
