,flood,fraction_formal_in_flood_prone_area,fraction_subsidized_in_flood_prone_area,fraction_informal_in_flood_prone_area,fraction_backyard_in_flood_prone_area,flood_depth_formal,flood_depth_subsidized,flood_depth_informal,flood_depth_backyard
0,P_5yr,0.0,0.0,328.25984314233466,0.0,0.0,0.0,0.0722289635219616,0.0
1,P_10yr,0.0,0.0,2040.5420685294546,0.0,0.0,0.0,0.13398393149786944,0.0
2,P_20yr,0.0,11575.478695059934,8801.475227357845,8184.368081046346,0.0,0.07246939134810775,0.09680765939797624,0.07189787692441663
3,P_50yr,151156.9602545779,38214.40783039116,25849.436455602878,20010.170856700817,0.1355644509843221,0.08304391226492716,0.09445638573403645,0.09059140472912275
4,P_75yr,177635.5245933225,48765.19719733989,34519.81600395401,24387.798448839014,0.15349193170234782,0.09481854385007343,0.09549412804564637,0.10256712843630503
5,P_100yr,200392.0426957281,58408.78841797857,42474.033829234744,28134.88683587911,0.16959250830903705,0.10478007659347816,0.09743484764033539,0.1104332458889439
6,P_200yr,244734.96844256495,78665.35153628659,56521.876044418845,36218.65836149689,0.2002477705946678,0.13180013144758562,0.12021684777112106,0.13251644935055787
7,P_250yr,253442.82995451754,82443.7387262821,58847.93849055187,37739.20041273404,0.20716091106400547,0.13662466384986652,0.12391124995793144,0.13692739448028712
8,P_500yr,291601.0880891384,102486.63903210522,69870.75942845656,45570.16641330748,0.24211786322612755,0.16125977847042627,0.1402861781850239,0.15574458288416496
9,P_1000yr,323333.1428477835,117347.42127098638,78813.06509175333,51200.868240923985,0.26972138548335106,0.18771116245052752,0.15401312421885724,0.17663665063212272
