,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
0,1001,1892856.70758,0,1001.0,1789.4,1295.9,2355.68,1403.74,865.997496490745,True
1,1002,1443703.11023,0,1002.0,1629.46,247.573,1560.29,541.548,66.71388121113887,False
2,1003,2298749.89043,0,1003.0,2353.39,656.404,3086.19,705.175,248.89409528771043,False
3,1004,2008304.06552,0,1004.0,2292.99,521.483,2417.97,517.233,132.14480316821738,False
4,1005,1462753.44063,0,1005.0,868.632,1663.47,937.522,549.671,102.63674032482903,False
5,1006,746672.462029,0,1006.0,663.783,332.537,693.69,338.992,48.752451654293786,False
6,1007,1027537.90187,0,1007.0,0.0,0.0,0.0,0.0,0.0,False
7,1008,802033.257424,0,1008.0,1757.57,70.1742,1753.87,419.217,16.678470302784717,False
8,1009,665322.738067,0,1009.0,0.0,0.0,0.0,0.0,0.0,False
9,1010,454962.902506,0,1010.0,0.0,0.121752,2724.78,399.264,0.0,False
10,1011,1048190.64547,0,1011.0,0.0,0.0,0.0,4265.47,0.0,False
11,1012,2091148.61422,0,1012.0,2172.39,436.873,3064.69,1798.28,179.61429556845079,False
12,1013,1335928.60176,0,1013.0,1731.2,1535.85,2173.14,577.052,587.5953383596462,False
13,1014,896787.07337,0,1014.0,774.575,34.1272,853.438,34.4138,6.414796270301815,False
14,1015,621966.353512,0,1015.0,1152.6,42.1876,1393.07,42.5077,12.82959254060363,False
15,1016,779500.840894,0,1016.0,1236.52,0.0,2882.6,667.851,0.0,False
16,1017,342090.667929,0,1017.0,219.163,105.42,244.402,104.878,15.395511048724355,False
17,1018,625678.833639,0,1018.0,0.0,114.899,0.0,115.282,19.244388810905445,False
18,1019,605462.657236,0,1019.0,0.0,0.0,1807.31,2855.35,0.0,False
19,1020,285169.471386,0,1020.0,0.0,0.0,0.0,0.0,0.0,False
20,1021,289701.612428,0,1021.0,0.0,0.990761,0.0,1.00357,0.0,False
21,1022,691968.498978,0,1022.0,0.0,0.0,2110.11,6597.49,0.0,False
22,1023,255627.379818,0,1023.0,0.0,868.801,0.0,876.672,114.1833736113723,False
23,1024,623018.848494,0,1024.0,147.28,354.342,1509.22,361.013,69.2797997192596,False
24,1025,823847.443539,0,1025.0,507.323,586.428,592.576,587.331,135.99368093039848,False
25,1026,1053994.6924,0,1026.0,563.407,62.994,1284.77,90.7126,12.82959254060363,False
26,1101,524739.846299,0,1101.0,1371.89,1451.96,1270.73,1658.17,314.3250172447889,True
27,1102,869564.031503,0,1102.0,146.782,9398.25,223.401,9394.01,1368.9175240824072,True
28,1103,980830.053689,0,1103.0,660.18,1328.86,694.177,1354.44,322.0227727691511,False
29,1104,1088220.63058,0,1104.0,1813.15,1536.79,2378.24,1751.05,777.47330796058,True
30,1105,934795.627299,0,1105.0,27.2354,8913.88,35.1124,9571.69,1144.3996546218436,True
31,1106,986709.285318,0,1106.0,222.04,13940.7,997.851,13888.5,1902.6285737715182,True
32,1107,1030322.68943,0,1107.0,2611.49,526.176,3259.25,826.611,52.601329416474876,False
33,1108,309717.915464,0,1108.0,0.0,2788.67,0.0,2943.73,382.32185770998814,True
34,1109,597774.334617,0,1109.0,1951.13,2075.13,2479.07,2001.29,468.2801277320325,True
35,1110,1544163.03262,0,1110.0,2889.94,2834.85,3864.53,2464.97,577.3316643271634,True
36,1111,873340.11437,0,1111.0,1631.57,1055.04,1852.96,1337.24,279.6851173851591,False
37,1112,878497.287787,0,1112.0,1048.95,353.887,1525.6,522.61,105.20265883294975,False
38,1113,1145222.03477,0,1113.0,1321.68,483.459,1762.27,555.972,236.0645027471068,False
39,1114,753302.783222,0,1114.0,0.906549,3791.71,34.3335,3795.39,738.984530338769,True
40,1115,1305850.10565,0,1115.0,1846.35,590.958,2391.4,553.836,310.47613948260783,False
41,1116,999306.070317,0,1116.0,2198.71,115.265,2776.5,561.726,28.225103589327983,False
42,1117,988228.882694,0,1117.0,1530.74,362.799,1747.68,550.506,67.99684046519924,False
43,1118,861717.746038,0,1118.0,116.506,380.186,134.733,373.449,102.63674032482903,False
44,1119,875719.408596,0,1119.0,2959.9,455.902,3625.95,707.612,183.4631733306319,False
45,1120,705587.936992,0,1120.0,627.55,87.4223,711.781,88.5847,15.395511048724355,False
46,1121,739809.753696,0,1121.0,987.544,1280.51,1242.29,567.73,198.85868437935625,False
47,1122,704175.776076,0,1122.0,950.497,1218.57,1660.8,1273.23,315.60797649884927,False
48,1123,561316.715281,0,1123.0,687.827,781.552,966.513,748.884,189.8779696009337,False
49,1124,1096327.1359,0,1124.0,2713.62,923.674,3016.2,1382.94,207.8393991577788,False
50,1125,997024.552061,0,1125.0,3021.15,1166.62,4852.06,1886.18,144.974395708821,True
