,structure_backyards
0,1.3662445110761977e-05
1,0.0002711083121392479
2,0.0
3,0.0
4,0.0032236262974407663
5,1.773697698082288e-07
6,5.757861766859638e-05
7,3.6807888604178346e-05
8,0.0009543286069624404
9,1.802502754833435e-05
10,0.0
11,2.604752748712456e-09
12,0.0009516085623961244
13,0.0
14,0.0
15,8.713877517808844e-08
16,9.246612267720522e-05
17,1.3953221433703777e-09
18,0.001743630659751714
19,0.0007931393876759985
20,0.006216289704338015
21,0.007082536709627596
22,0.01018192294820297
23,0.008816584209319116
24,0.0021619972597358623
25,0.0017688889160272971
26,0.0018970130204580687
27,0.0012273454295130863
28,2.029304455565946e-06
29,0.0
30,0.0
31,0.0
32,8.359933880937858e-07
33,0.00011516387985674072
34,0.00013618094908290272
35,0.0
36,0.0
37,0.0
38,0.0
39,4.926767373391203e-05
40,6.554445098172075e-06
41,0.004159680194955125
42,0.0004426408183826393
43,0.003224515321456626
44,0.00799514781586442
45,0.0012954747729531258
46,7.010465240516097e-05
47,1.4642478769549658e-06
48,0.0021573463872338
49,0.00047796216427460343
50,0.0005898362525896373
51,0.0004756342444764563
52,1.0293436033071636e-07
53,0.00019179655904781273
54,0.0
55,0.0
56,0.0006895078764193724
57,0.00034342633909758234
58,1.3703571219672337e-06
59,1.7362662850846797e-09
60,1.1414243795601648e-05
61,8.608034121495908e-05
62,0.000593508401523593
63,0.0
64,0.0
65,0.0
66,0.0
67,1.309972690114819e-06
68,4.7749959379629636e-08
69,0.001149537468711343
70,0.00044843400190370766
71,5.179793137472011e-05
72,2.2663839085500388e-07
73,0.0
74,0.0
75,0.0011948542839498738
76,0.0009026635032626241
77,0.0
78,0.0012098439432862212
79,0.0
80,7.461138144125026e-07
81,0.01042792649844125
82,0.007400915544022182
83,0.00046993466401948504
84,1.3311659529360917e-06
85,0.0007937309167773482
86,6.371021896403389e-05
87,0.0025542401277207573
88,0.02309964120729487
89,0.0003971147343858956
90,1.804590137421834e-06
91,0.0010673250290085935
92,0.00010694243348401353
93,0.0
94,6.98851134556286e-06
95,2.7062590192348576e-06
96,0.0
97,0.0
98,1.2014381510470397e-05
99,2.15663217906248e-06
100,0.0
101,1.2910052818742657e-05
102,0.0017249465875743164
103,3.763574691390545e-07
104,3.396072168906672e-07
105,0.00015469988089378143
106,0.0
107,0.0
108,3.376751182713837e-08
109,7.925484383475481e-08
110,0.00021142521342897719
111,0.000949211663795671
112,0.00015687398894863178
113,0.002168941817717297
114,0.004238757217020975
115,0.0
116,2.131629493088115e-06
117,0.0
118,0.011635124690850337
119,0.15349372657441235
120,0.04724794055757131
121,0.00012652043349746354
122,0.0
123,0.0
124,1.3129094655463779e-08
125,0.0
126,2.1762244602532533e-06
127,8.938525401840271e-06
128,4.0948806340696306e-06
129,4.1449288297899355e-06
130,1.1193263220886475e-06
