,structure_formal_backyards
0,8.242065311270134e-06
1,0.00016354996466333614
2,0.0
3,0.0
4,0.001944698644147226
5,1.0700084905393915e-07
6,3.4735124167738115e-05
7,2.2204884951861593e-05
8,0.0005757123738270009
9,1.0873855527792085e-05
10,0.0
11,1.5713543293716569e-09
12,0.0005740714680606176
13,0.0
14,0.0
15,5.256771173383578e-08
16,5.57815102645955e-05
17,8.417480284595038e-10
18,0.001051870119872354
19,0.00047847267316866065
20,0.0037518702102754676
21,0.004273251108538156
22,0.006230203045872355
23,0.005318730453180817
24,0.0013042557516658318
25,0.001067107524025449
26,0.0011444002214968988
27,0.000740413674677268
28,1.2242069207693376e-06
29,0.0
30,0.0
31,0.0
32,5.043249614983961e-07
33,6.947425673687382e-05
34,8.215310417663871e-05
35,0.0
36,0.0
37,0.0
38,0.0
39,2.9721428438119735e-05
40,3.9540626981707025e-06
41,0.002509386538271328
42,0.00026702940103086017
43,0.0019452349605929725
44,0.00482318720678382
45,0.0007815136749842733
46,4.2291633676323876e-05
47,8.833284625052293e-07
48,0.0013014500463469363
49,0.0002883375078421523
50,0.00035582715080547436
51,0.0002869331569474054
52,6.209662426759141e-08
53,0.00011570401588685959
54,0.0
55,0.0
56,0.00041595548263957086
57,0.00020717684817800623
58,8.26687522434862e-07
59,1.0474274555842061e-09
60,6.8858057309232155e-06
61,5.192919631576415e-05
62,0.0003580424271415186
63,0.0
64,0.0
65,0.0
66,0.0
67,7.902597507529464e-07
68,2.8805845558888694e-08
69,0.0006934749100955491
70,0.00027052422180076814
71,3.124784252877569e-05
72,1.3672284897208493e-07
73,0.0
74,0.0
75,0.0007208129266706729
76,0.0005445446614918199
77,0.0
78,0.0007298556529354284
79,0.0
80,4.501038238890872e-07
81,0.006654192864264281
82,0.004709326860063878
83,0.0002834948035639256
84,8.03044889497566e-07
85,0.00047882952155467917
86,3.8434100297556656e-05
87,0.0015408818687043444
88,0.013935928811953806
89,0.00024312369610270205
90,1.088644796163809e-06
91,0.0006438790806568516
92,6.45145516908315e-05
93,0.0
94,4.215919366681283e-06
95,1.6325894380485135e-06
96,0.0
97,0.0
98,7.247847386103104e-06
99,1.3010191900583185e-06
100,0.0
101,7.78817390601686e-06
102,0.0010405986862513478
103,2.270430231104818e-07
104,2.048729081141357e-07
105,9.332491451093893e-05
106,0.0
107,0.0
108,2.0370734200361523e-08
109,4.781161745389313e-08
110,0.00012754528222464498
111,0.0005726255047173601
112,9.46364762728757e-05
113,0.0013084451555373106
114,0.002557090882201251
115,0.0
116,1.2859359623426905e-06
117,0.0
118,0.007403356374611239
119,0.09543065821373745
120,0.02929377880765356
121,7.632526005721285e-05
122,0.0
123,0.0
124,7.920314025118527e-09
125,0.0
126,1.3128385137490632e-06
127,5.392293220660987e-06
128,2.4702952768880214e-06
129,2.500487566371626e-06
130,6.752496040413293e-07
131,0.0003182421586572219
132,0.0007977266825557228
133,0.00039136508123282295
134,0.0
135,2.5132562828671404e-05
136,0.003033292824309603
137,0.0009748602092599739
138,0.001078162533602491
139,0.00026973061791438495
140,5.2954965999634e-05
141,9.711668826639662e-08
142,2.762165190801007e-09
143,2.850152561881472e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,3.9006547303976816e-05
149,0.0009236141179739337
150,0.00178560745568923
151,0.001550495757138889
152,1.700203051839103e-08
153,0.0004221233107146803
154,8.718254589100191e-07
155,0.0
156,0.000987581852460982
157,5.0074900936022456e-05
158,3.584109316642917e-05
159,7.729391749607509e-05
160,0.0003949021520940531
161,9.62582821587282e-05
162,2.4377074845329702e-09
163,5.768587194573583e-05
164,0.0007320893435473404
165,0.0
166,0.0
167,4.003732835221463e-06
168,6.729124839729865e-06
169,0.0003526003195220278
170,0.005798907266644042
171,0.0019506518548961336
172,6.777804627124999e-06
173,0.00023257234637080146
174,4.09982820288545e-05
175,0.00024852894315345684
176,0.0001427833817023691
177,8.55846201136621e-05
178,0.00207649777874216
179,0.0008459466930722593
180,0.0009038359640010304
181,0.0009987566798129424
182,0.00032311825414874887
183,0.0
184,0.0
185,0.0
186,1.9866697159463551e-07
187,0.0
188,0.0
189,0.0
190,2.5942893347540906e-09
191,0.001004569275251016
192,0.0032065597831882585
193,0.0007519378950601145
194,0.0011048944836908924
195,0.0015747312367477384
196,0.005368359217345611
197,0.00021536877602235517
198,0.00017926813092013861
199,5.165570676377554e-06
200,0.00022473812338976576
201,0.001065881450666277
202,0.001677373481116308
203,0.0009426635797801108
204,0.0
205,3.2375233070991856e-05
206,2.9419830526030324e-08
207,0.0
208,0.0004974526544821602
209,4.424309384238215e-05
210,5.094002043505547e-07
211,0.0
212,0.0
213,0.0
214,0.00023772053361605054
215,4.5950870486559745e-07
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,7.432104599086455e-07
222,0.00246181279028803
223,2.4912418901675064e-06
224,0.0
225,0.0
226,0.0
227,4.2661368586125035e-07
228,0.0017143256822409342
229,6.369420130368307e-07
230,0.003822371918948215
231,0.0010006922003149227
232,0.005023774042041573
233,0.014885900842817079
234,0.0
235,1.1244818270816594e-08
236,0.0
237,0.0008963603107322536
238,7.408174399827293e-07
239,0.0006497894159737093
240,6.64253231261229e-06
241,0.01341029575630282
242,0.0
243,2.2511270065857042e-08
244,2.008871140040897e-05
245,0.0
246,0.00023208095071556125
247,0.00016031119142254145
248,1.9208900377826688e-05
249,6.773491598408513e-07
250,6.803538859789918e-07
251,4.6056484574432797e-07
252,0.0
253,0.0009938434136144694
254,0.00033050364980692973
255,1.64193058130802e-05
256,0.0005235071949759577
257,9.96295144564318e-06
258,0.0
259,0.0
260,0.0
261,7.030456080326822e-07
262,2.0441065128872425e-05
263,0.0
264,6.17185806560637e-05
265,0.0004422373025732185
266,0.004207440886082063
267,0.00039999341664799206
268,1.7317415842556082e-06
269,0.040333423178244544
270,0.027392531345407426
271,0.04265010858822835
272,0.2493069333052997
273,0.08831596548719824
274,0.0
275,0.0
276,0.0
277,3.912762027578791e-05
278,8.873392719261013e-05
279,0.00019823988439408489
280,0.0
281,0.0
282,0.000131329287305084
283,8.884006911300197e-05
284,0.0001702755321477163
285,0.0020679686980922037
286,2.8457451526215362e-05
287,1.7463591777616088e-08
288,0.00133063726125282
289,0.0006483094833523399
290,0.001058942744439708
291,0.00011946453959700261
292,0.00020795064620587135
293,0.00010918316967812198
294,5.724662505622715e-06
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,6.079032252109204e-06
301,9.067677776370013e-05
302,1.4197240078972496e-05
303,1.3867231492515338e-07
304,1.9827571872686095e-09
305,0.00036434686047212057
306,3.2779076254119377e-07
307,0.0
308,0.0010111260396869037
309,9.448126978084424e-06
310,0.0003809941332659712
311,0.0004037911243472495
312,0.00029413983380340226
313,0.00038832782249738546
314,0.00013569991521493355
315,0.0009485793269360597
316,2.4262777303410168e-05
317,0.0
318,1.3918183256696677e-06
319,8.966769228214856e-06
320,3.931489877085422e-05
321,0.005256016292924339
322,4.548978856749969e-05
323,0.0
324,0.0
325,4.286691431462031e-06
326,0.00020619934055650577
327,3.0138944899250204e-08
328,0.00037098455106691143
329,2.7628206086573827e-09
330,0.0007536931587899298
331,1.0714077283952315e-05
332,2.871524031638818e-08
333,3.621595830097168e-07
334,0.0001953869097511298
335,3.251952286516537e-05
336,0.0
337,5.137044339171025e-05
338,0.0005293907280640045
339,0.0007576193418869802
340,0.0008996732926099232
341,0.000814392851207868
342,0.0018330649045957533
343,0.0008854455253560264
344,8.807127436797476e-05
345,0.0013036212498376092
346,0.0016578776838201462
347,0.0024130015049085426
348,0.004030656401267665
349,9.072199920917509e-05
350,9.279958655796912e-05
351,8.030761315472162e-06
352,5.385746679891824e-06
353,0.0018034723380817947
354,0.0006065672443143501
355,0.00035874746003101266
356,0.0
357,2.5968046187296578e-06
358,5.060028852013401e-07
359,8.624171235792158e-09
360,0.0010433177873798844
361,0.0008526792614361223
362,1.3562591186889427e-05
