,structure_informal_settlements
0,1.483571756028624e-05
1,0.00029438993639400497
2,0.0
3,0.0
4,0.0035004575594650067
5,1.926015282970905e-07
6,6.252322350192862e-05
7,3.9968792913350864e-05
8,0.0010362822728886016
9,1.9572939950025754e-05
10,0.0
11,2.828437792868983e-09
12,0.001033328642509112
13,0.0
14,0.0
15,9.462188112090441e-08
16,0.0001004067184762719
17,1.515146451227107e-09
18,0.0018933662157702372
19,0.0008612508117035895
20,0.006749727508221275
21,0.007690622770112222
22,0.011037295497941255
23,0.009573714815725474
24,0.0023476603529984977
25,0.001920793543245808
26,0.002059920398694418
27,0.0013327446144190825
28,2.2035724573848074e-06
29,0.0
30,0.0
31,0.0
32,9.077849306971129e-07
33,0.00012505366212637288
34,0.00014787558751794966
35,0.0
36,0.0
37,0.0
38,0.0
39,5.349857118861553e-05
40,7.1173128567072645e-06
41,0.0045168957688883895
42,0.00048065292185554826
43,0.00350142292906735
44,0.008681736972210875
45,0.001406724614971692
46,7.612494061738297e-05
47,1.5899912325094126e-06
48,0.0023426100834244854
49,0.000519007514115874
50,0.0006404888714498539
51,0.0005164796825053298
52,1.1177392368166455e-07
53,0.00020826722859634727
54,0.0
55,0.0
56,0.0007487198687512277
57,0.00037291832672041117
58,1.4880375403827517e-06
59,1.8853694200515714e-09
60,1.2394450315661788e-05
61,9.34725533683755e-05
62,0.0006444763688547335
63,0.0
64,0.0
65,0.0
66,0.0
67,1.4224675513553033e-06
68,5.1850522005999646e-08
69,0.0012482548381719883
70,0.00048694359924138274
71,5.624611655179623e-05
72,2.4610112814975286e-07
73,0.0
74,0.0
75,0.0012974632680072115
76,0.0009801803906852756
77,0.0
78,0.0013137401752837713
79,0.0
80,8.101868830003571e-07
81,0.011244772894562423
82,0.007983525428413605
83,0.0005102906464150662
84,1.4454808010956189e-06
85,0.0008618931387984225
86,6.918138053560199e-05
87,0.00277358736366782
88,0.0250831795729691
89,0.0004304469821941111
90,1.9595606330948563e-06
91,0.0011589823451823328
92,0.00011612619304349668
93,0.0
94,7.588654860026309e-06
95,2.9386609884873237e-06
96,0.0
97,0.0
98,1.3046125294985587e-05
99,2.341834542104974e-06
100,0.0
101,1.4018713030830347e-05
102,0.0018730776352524259
103,4.0867744159886723e-07
104,3.687712346054442e-07
105,0.0001679848461196901
106,0.0
107,0.0
108,3.666732156065075e-08
109,8.606091141700763e-08
110,0.00022958150800436096
111,0.0010307259084912485
112,0.00017034565729117626
113,0.002355201279967159
114,0.004602763587962252
115,0.0
116,2.3146847322168427e-06
117,0.0
118,0.012551115333919017
119,0.1660618123843422
120,0.051134222352336986
121,0.00013738546810298312
122,0.0
123,0.0
124,1.4256565245213348e-08
125,0.0
126,2.3631093247483136e-06
127,9.706127797189774e-06
128,4.446531498398439e-06
129,4.5008776194689265e-06
130,1.2154492872743931e-06
131,0.0005728358855829992
132,0.001435908028600301
133,0.0007044571462190814
134,0.0
135,4.523861309160853e-05
136,0.005459927083757286
137,0.001754748376667953
138,0.0019406925604844836
139,0.0004855151122458929
140,9.53189387993412e-05
141,1.7481003887951395e-07
142,4.971897343441813e-09
143,5.13027461138665e-06
144,0.0
145,0.0
146,0.0
147,0.0
148,7.021178514715828e-05
149,0.0016625054123530806
150,0.0032140934202406135
151,0.0027908923628500006
152,3.060365493310386e-08
153,0.0007598219592864244
154,1.5692858260380345e-06
155,0.0
156,0.0017776473344297678
157,9.013482168484045e-05
158,6.451396769957252e-05
159,0.00013912905149293515
160,0.0007108238737692957
161,0.00017326490788571074
162,4.387873472159346e-09
163,0.0001038345695023245
164,0.0013177608183852125
165,0.0
166,0.0
167,7.2067191033986335e-06
168,1.2112424711513761e-05
169,0.0006346805751396501
170,0.010218527161629336
171,0.0035111733388130404
172,1.2200048328824998e-05
173,0.0004186302234674426
174,7.379690765193809e-05
175,0.0004473520976762224
176,0.00025701008706426433
177,0.00015405231620459176
178,0.003737696001735887
179,0.0015227040475300668
180,0.0016269047352018545
181,0.0017977620236632964
182,0.0005816128574677481
183,0.0
184,0.0
185,0.0
186,3.5760054887034404e-07
187,0.0
188,0.0
189,0.0
190,4.669720802557363e-09
191,0.0018082246954518287
192,0.005771807609738866
193,0.0013534882111082061
194,0.0019888100706436066
195,0.002834516226145929
196,0.009658215779715802
197,0.00038766379684023936
198,0.00032268263565624956
199,9.298027217479597e-06
200,0.00040452862210157834
201,0.001918586611199299
202,0.003019272266009355
203,0.0016967944436041995
204,0.0
205,5.8275419527785335e-05
206,5.295569494685458e-08
207,0.0
208,0.0008954147780678884
209,7.963756891628786e-05
210,9.169203678309984e-07
211,0.0
212,0.0
213,0.0
214,0.00042789696050889105
215,8.271156687580754e-07
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,1.3377788278355619e-06
222,0.004431263022518454
223,4.484235402301511e-06
224,0.0
225,0.0
226,0.0
227,7.679046345502506e-07
228,0.003085786228033682
229,1.1464956234662953e-06
230,0.006760980844649135
231,0.0017902208251101477
232,0.008479023854383986
